# CropName  BaseGrowthRate  R   G   B   OptimalWater  WaterTolerance
Wheat       5.0            245 222 179 0.6           0.2
Corn        2.0            255 255 0   0.5           0.3
Rice        0.8            240 240 200 0.8           0.2
Barley      4.0            218 165 32  0.5           0.25
Soybean     1.5            34  139 34  0.55          0.15
Potato      0.6            210 180 140 0.6           0.3
Tomato      1.0            255 99 71   0.5           0.2
Carrot      0.5            255 165 0   0.4           0.15
Cotton      0.8            245 245 245 0.4           0.1
Sugarcane   20.0           50  205 50  0.9           0.1
Spinach     3.0            0   128 0   0.7           0.2
Lettuce     2.5            144 238 144 0.6           0.25
