x,y,soilBaseQuality,sunlight,nutrients,pH,organicMatter,compaction,salinity
439.68,230.88,0.38624,0.87202,0.438732,0.510203,0.602075,0.783968,0.505551
450.56,230.88,0.212771,0.826459,0.761913,0.766301,0.71222,0.812809,0.819487
461.44,230.88,0.357429,0.34386,0.314834,0.791717,0.800292,0.305387,0.293668
472.32,230.88,0.362252,0.351691,0.838215,0.352553,0.672808,0.76366,0.646282
483.2,230.88,0.257159,0.405047,0.785643,0.443399,0.377066,0.324374,0.753602
494.08,230.88,0.779142,0.208343,0.359153,0.791912,0.834802,0.221066,0.658214
504.96,230.88,0.647022,0.833874,0.577701,0.804451,0.277734,0.692535,0.696168
515.84,230.88,0.878026,0.797922,0.789837,0.340278,0.249613,0.728052,0.492831
526.72,230.88,0.722421,0.591712,0.239113,0.77958,0.796759,0.824756,0.322979
537.6,230.88,0.273825,0.24913,0.876581,0.852967,0.257472,0.335734,0.744879
548.48,230.88,0.892274,0.3568,0.503093,0.639297,0.290674,0.880794,0.543748
417.92,241.76,0.368408,0.673329,0.339916,0.346434,0.571251,0.229753,0.486713
428.8,241.76,0.620864,0.757805,0.779543,0.443285,0.449517,0.818656,0.322865
439.68,241.76,0.346276,0.743412,0.445844,0.420102,0.792542,0.422425,0.373069
450.56,241.76,0.850014,0.558159,0.217948,0.842289,0.714959,0.521041,0.581586
461.44,241.76,0.805633,0.501835,0.225334,0.274041,0.275164,0.36525,0.420476
472.32,241.76,0.646416,0.395003,0.707188,0.36728,0.252809,0.586731,0.610564
483.2,241.76,0.502326,0.505388,0.733429,0.648602,0.3488,0.279273,0.868704
494.08,241.76,0.241342,0.501698,0.341773,0.891356,0.859857,0.359721,0.833645
504.96,241.76,0.674816,0.680762,0.515231,0.580449,0.282597,0.540564,0.65449
515.84,241.76,0.357762,0.705814,0.874966,0.804178,0.200818,0.682154,0.271457
526.72,241.76,0.253626,0.368885,0.682022,0.555952,0.674273,0.515451,0.304555
537.6,241.76,0.823073,0.594723,0.273259,0.864415,0.896421,0.415032,0.855771
548.48,241.76,0.856278,0.574753,0.789416,0.631093,0.355516,0.404647,0.311542
559.36,241.76,0.438113,0.745211,0.766032,0.595875,0.551026,0.740998,0.500053
570.24,241.76,0.551843,0.523152,0.57151,0.60547,0.692037,0.353531,0.261422
407.04,252.64,0.46631,0.668982,0.365977,0.389383,0.363705,0.439236,0.353797
417.92,252.64,0.360126,0.654268,0.309568,0.316404,0.329021,0.898984,0.747497
428.8,252.64,0.484537,0.403631,0.859039,0.72265,0.248842,0.725071,0.418525
439.68,252.64,0.599868,0.566069,0.718578,0.251711,0.88922,0.390087,0.65718
450.56,252.64,0.681257,0.543619,0.718602,0.247567,0.312601,0.884579,0.436949
461.44,252.64,0.476306,0.423815,0.590747,0.636432,0.878083,0.700315,0.752836
472.32,252.64,0.307104,0.699299,0.600333,0.591641,0.20293,0.559372,0.414291
483.2,252.64,0.251771,0.384443,0.632816,0.651639,0.750512,0.451393,0.70335
494.08,252.64,0.739732,0.641481,0.46053,0.52099,0.285099,0.279133,0.568556
504.96,252.64,0.3977,0.263712,0.805506,0.674006,0.487527,0.496252,0.410438
515.84,252.64,0.46561,0.296567,0.263274,0.572714,0.795866,0.663607,0.264355
526.72,252.64,0.798795,0.32298,0.478646,0.850567,0.507423,0.211461,0.602206
537.6,252.64,0.357935,0.462854,0.405556,0.897668,0.204335,0.666086,0.518657
548.48,252.64,0.289434,0.745219,0.887214,0.487134,0.808931,0.792719,0.261141
559.36,252.64,0.396457,0.388972,0.471579,0.662067,0.485539,0.534853,0.334781
570.24,252.64,0.381405,0.298461,0.399136,0.2802,0.42144,0.677781,0.230767
581.12,252.64,0.728863,0.689243,0.632973,0.886798,0.252097,0.838529,0.884466
592,252.64,0.256432,0.604615,0.503123,0.345866,0.449834,0.490337,0.633
385.28,263.52,0.358764,0.383056,0.694141,0.555221,0.572028,0.26572,0.317289
396.16,263.52,0.857566,0.600573,0.45207,0.338971,0.699034,0.651205,0.419171
407.04,263.52,0.220474,0.428987,0.449938,0.749337,0.218229,0.882911,0.736136
417.92,263.52,0.270326,0.82144,0.720602,0.326758,0.526055,0.323725,0.472624
428.8,263.52,0.775888,0.614062,0.205625,0.234652,0.797118,0.699766,0.589874
439.68,263.52,0.469145,0.765486,0.707162,0.426712,0.466059,0.259232,0.565683
450.56,263.52,0.265093,0.710437,0.784854,0.285567,0.239424,0.334792,0.834905
461.44,263.52,0.257653,0.317704,0.671041,0.32798,0.239143,0.491642,0.454738
472.32,263.52,0.565198,0.615367,0.727362,0.441086,0.329429,0.732987,0.475738
483.2,263.52,0.226547,0.532752,0.865612,0.495692,0.398238,0.672774,0.722404
494.08,263.52,0.664297,0.732006,0.388086,0.72939,0.542443,0.272941,0.814958
504.96,263.52,0.581867,0.407733,0.749863,0.639521,0.525437,0.520903,0.7675
515.84,263.52,0.56458,0.812546,0.322238,0.229778,0.527913,0.8496,0.470864
526.72,263.52,0.657342,0.682586,0.746603,0.683889,0.315339,0.712215,0.279581
537.6,263.52,0.513577,0.484989,0.801984,0.277874,0.316995,0.290071,0.807265
548.48,263.52,0.659438,0.363011,0.722222,0.341305,0.570744,0.572085,0.780826
559.36,263.52,0.896181,0.892988,0.648326,0.560761,0.805534,0.770564,0.590539
570.24,263.52,0.433448,0.720164,0.861403,0.89079,0.50275,0.708006,0.674679
581.12,263.52,0.618089,0.520221,0.75426,0.231666,0.805209,0.656244,0.30954
592,263.52,0.222204,0.746315,0.216805,0.681642,0.209327,0.739027,0.822947
602.88,263.52,0.580071,0.411112,0.703773,0.576252,0.404101,0.452099,0.237013
374.4,274.4,0.309635,0.322663,0.627553,0.543083,0.842827,0.588956,0.533873
385.28,274.4,0.445577,0.396962,0.308552,0.863666,0.717183,0.862811,0.895331
396.16,274.4,0.622392,0.619056,0.304871,0.644596,0.465371,0.321676,0.426238
407.04,274.4,0.474697,0.860703,0.349185,0.854768,0.371815,0.852957,0.53102
417.92,274.4,0.575916,0.405056,0.568034,0.685551,0.527719,0.295586,0.328634
428.8,274.4,0.470546,0.684542,0.662506,0.716122,0.881504,0.771058,0.679788
439.68,274.4,0.698687,0.733869,0.675119,0.421078,0.452925,0.779991,0.865674
450.56,274.4,0.718296,0.201667,0.391912,0.292993,0.86237,0.541096,0.247761
461.44,274.4,0.334185,0.494054,0.578782,0.710101,0.69911,0.246815,0.495652
472.32,274.4,0.326829,0.342401,0.624286,0.597375,0.826943,0.386792,0.413497
483.2,274.4,0.808447,0.25785,0.893285,0.607134,0.791719,0.668404,0.828212
494.08,274.4,0.344645,0.548395,0.793886,0.86294,0.550062,0.285798,0.255934
504.96,274.4,0.512431,0.626895,0.303695,0.646616,0.220948,0.682477,0.456717
515.84,274.4,0.720058,0.729292,0.752369,0.846887,0.871693,0.476655,0.544262
526.72,274.4,0.798636,0.663447,0.757759,0.707083,0.721298,0.751044,0.414217
537.6,274.4,0.613017,0.519448,0.342429,0.757662,0.867843,0.236316,0.720602
548.48,274.4,0.517905,0.322114,0.776536,0.830336,0.749008,0.880231,0.576952
559.36,274.4,0.769957,0.662707,0.833669,0.590015,0.491999,0.686039,0.536902
570.24,274.4,0.463692,0.262694,0.881164,0.362328,0.726142,0.738922,0.869411
581.12,274.4,0.547439,0.589966,0.383628,0.260456,0.209414,0.526058,0.818118
592,274.4,0.877257,0.562373,0.63872,0.495161,0.684487,0.515256,0.425497
602.88,274.4,0.533495,0.495486,0.802449,0.403452,0.258194,0.736118,0.793467
613.76,274.4,0.550193,0.522157,0.430369,0.813884,0.584851,0.411532,0.276212
363.52,285.28,0.410993,0.250455,0.245624,0.758432,0.640421,0.429252,0.818888
374.4,285.28,0.649835,0.75531,0.737006,0.627091,0.417683,0.475726,0.222253
385.28,285.28,0.20217,0.790982,0.44775,0.535665,0.386468,0.350199,0.739117
396.16,285.28,0.444662,0.886317,0.632584,0.794855,0.508475,0.862952,0.708739
407.04,285.28,0.893326,0.374485,0.784951,0.404319,0.42494,0.830575,0.262751
417.92,285.28,0.86536,0.359827,0.881639,0.615195,0.215136,0.718645,0.342286
428.8,285.28,0.432819,0.294371,0.364539,0.434989,0.885353,0.612289,0.770654
439.68,285.28,0.371822,0.762488,0.609771,0.616484,0.748806,0.342355,0.511338
450.56,285.28,0.35728,0.305307,0.320077,0.350607,0.479792,0.205029,0.554926
461.44,285.28,0.704732,0.835603,0.617677,0.670092,0.29543,0.599316,0.385287
472.32,285.28,0.310566,0.417961,0.527573,0.543386,0.512333,0.692113,0.778374
483.2,285.28,0.497686,0.404402,0.649029,0.669508,0.26689,0.3588,0.385992
494.08,285.28,0.815695,0.501155,0.69733,0.272976,0.606462,0.817407,0.423582
504.96,285.28,0.886254,0.822436,0.778508,0.690986,0.75804,0.496185,0.461078
515.84,285.28,0.85347,0.895501,0.646365,0.264036,0.413463,0.273938,0.607422
526.72,285.28,0.725795,0.766051,0.485796,0.323482,0.270452,0.234825,0.792989
537.6,285.28,0.337342,0.393625,0.278981,0.253037,0.694779,0.776311,0.326013
548.48,285.28,0.401241,0.693719,0.549596,0.387496,0.616155,0.428104,0.878481
559.36,285.28,0.474195,0.724289,0.439559,0.427664,0.71979,0.885924,0.4917
570.24,285.28,0.233252,0.259862,0.899122,0.759048,0.825913,0.484918,0.882529
581.12,285.28,0.896365,0.519743,0.775519,0.333707,0.713367,0.8545,0.386745
592,285.28,0.508147,0.730811,0.512758,0.709388,0.52453,0.862354,0.896884
602.88,285.28,0.240685,0.390457,0.875365,0.51488,0.214746,0.414924,0.742544
613.76,285.28,0.734536,0.400848,0.334244,0.767788,0.46071,0.333366,0.626836
624.64,285.28,0.386622,0.618284,0.609366,0.382987,0.238027,0.484884,0.516695
363.52,296.16,0.751394,0.439384,0.70344,0.359541,0.270196,0.316198,0.868929
374.4,296.16,0.594726,0.278551,0.865813,0.635411,0.469008,0.841178,0.250291
385.28,296.16,0.483754,0.356102,0.792835,0.31829,0.55695,0.227079,0.886078
396.16,296.16,0.81766,0.360445,0.612915,0.304282,0.778729,0.32228,0.48727
407.04,296.16,0.816756,0.607165,0.803965,0.66815,0.846549,0.607404,0.827691
417.92,296.16,0.216745,0.723602,0.79662,0.611471,0.802153,0.762433,0.346882
428.8,296.16,0.371161,0.703611,0.397173,0.654915,0.859713,0.290008,0.773206
439.68,296.16,0.516663,0.317087,0.759284,0.434323,0.477532,0.472199,0.538606
450.56,296.16,0.356261,0.594479,0.825875,0.273018,0.301644,0.72984,0.741168
461.44,296.16,0.248193,0.437244,0.668859,0.264938,0.260846,0.565479,0.676408
472.32,296.16,0.862999,0.427912,0.82329,0.33416,0.231523,0.320463,0.789075
483.2,296.16,0.891236,0.41047,0.662281,0.5079,0.527557,0.521565,0.742223
494.08,296.16,0.805089,0.793763,0.380829,0.26135,0.488243,0.306704,0.334368
504.96,296.16,0.589886,0.836544,0.875536,0.638079,0.373788,0.644395,0.703017
515.84,296.16,0.434634,0.309873,0.479425,0.397633,0.537785,0.402715,0.531792
526.72,296.16,0.569309,0.523178,0.420868,0.560545,0.733648,0.883148,0.868445
537.6,296.16,0.361205,0.504713,0.710668,0.266294,0.398477,0.891497,0.327645
548.48,296.16,0.686719,0.298201,0.462013,0.376606,0.234744,0.437548,0.814684
559.36,296.16,0.408532,0.881943,0.617701,0.643166,0.291816,0.897126,0.840799
570.24,296.16,0.629602,0.399841,0.472591,0.29891,0.723019,0.693459,0.659455
581.12,296.16,0.556667,0.676607,0.6279,0.717873,0.281321,0.438568,0.784167
592,296.16,0.479798,0.430065,0.211812,0.266517,0.528265,0.473825,0.443122
602.88,296.16,0.56301,0.711373,0.357807,0.771542,0.693316,0.775508,0.514708
613.76,296.16,0.785132,0.772634,0.455507,0.514734,0.272475,0.728099,0.613644
624.64,296.16,0.795494,0.521558,0.3731,0.452161,0.298165,0.801,0.270034
635.52,296.16,0.379486,0.339568,0.854201,0.659284,0.569632,0.866013,0.725801
352.64,307.04,0.897898,0.439837,0.268923,0.560907,0.25121,0.42673,0.432449
363.52,307.04,0.744526,0.302238,0.747158,0.629659,0.874872,0.302665,0.244393
374.4,307.04,0.247347,0.830764,0.658037,0.842841,0.452321,0.831137,0.395002
385.28,307.04,0.550487,0.732137,0.465036,0.729972,0.871705,0.419237,0.489256
396.16,307.04,0.541337,0.38525,0.315057,0.539235,0.625088,0.38398,0.200142
407.04,307.04,0.676298,0.610709,0.432592,0.520825,0.712947,0.27975,0.250483
417.92,307.04,0.687819,0.382415,0.294876,0.735166,0.313178,0.752913,0.678006
428.8,307.04,0.5655,0.684051,0.873008,0.215986,0.516187,0.438045,0.745959
439.68,307.04,0.487892,0.657282,0.335215,0.829229,0.842533,0.450271,0.468464
450.56,307.04,0.567621,0.634251,0.468606,0.343919,0.34496,0.701198,0.664743
461.44,307.04,0.857908,0.780948,0.715227,0.645727,0.263362,0.810103,0.480892
472.32,307.04,0.376541,0.663016,0.258899,0.74204,0.447067,0.231907,0.758027
483.2,307.04,0.763254,0.469952,0.603985,0.351146,0.227234,0.7392,0.280376
494.08,307.04,0.869767,0.289471,0.54884,0.537387,0.723722,0.817446,0.681306
504.96,307.04,0.868682,0.618644,0.44605,0.82659,0.499592,0.261276,0.572316
515.84,307.04,0.562954,0.871379,0.853209,0.739495,0.634396,0.212107,0.581535
526.72,307.04,0.881462,0.244015,0.439562,0.744717,0.513966,0.843547,0.895863
537.6,307.04,0.541201,0.682747,0.276239,0.510967,0.772218,0.625078,0.848354
548.48,307.04,0.59594,0.542525,0.629661,0.564623,0.261169,0.87571,0.491212
559.36,307.04,0.560761,0.236986,0.863529,0.223715,0.208366,0.816737,0.76321
570.24,307.04,0.642761,0.828845,0.444745,0.624223,0.872859,0.684307,0.46894
581.12,307.04,0.486826,0.627854,0.464803,0.828026,0.410601,0.541042,0.438993
592,307.04,0.28282,0.26612,0.387348,0.67876,0.608645,0.817008,0.343383
602.88,307.04,0.669814,0.792719,0.634595,0.330575,0.829705,0.598124,0.35429
613.76,307.04,0.838071,0.514861,0.2175,0.580832,0.443706,0.462245,0.305055
624.64,307.04,0.416565,0.246551,0.573995,0.703391,0.674406,0.838798,0.631417
635.52,307.04,0.885007,0.47984,0.87041,0.267827,0.54596,0.357758,0.746587
341.76,317.92,0.254606,0.274767,0.88997,0.72442,0.867485,0.624565,0.854995
352.64,317.92,0.79719,0.322689,0.309285,0.735261,0.63755,0.326784,0.416093
363.52,317.92,0.881256,0.589029,0.521148,0.397821,0.63558,0.895143,0.201212
374.4,317.92,0.409986,0.833941,0.632629,0.394993,0.413782,0.603039,0.46282
385.28,317.92,0.759742,0.760798,0.309407,0.814348,0.835564,0.299376,0.638767
396.16,317.92,0.80305,0.723941,0.593762,0.70024,0.84663,0.703046,0.535501
407.04,317.92,0.58418,0.829831,0.751594,0.565436,0.518859,0.372741,0.763257
