x,y
309,0
310,0
358,0
305,1
307,1
304,2
305,2
307,2
261,3
270,15
167,19
269,20
270,21
270,22
269,23
270,23
119,25
167,29
277,45
160,47
159,48
141,52
141,53
309,66
117,71
262,73
262,74
156,75
138,79
265,79
140,82
140,86
276,89
363,90
221,91
222,92
193,97
193,98
337,100
358,105
358,106
196,107
208,108
208,109
359,109
209,110
213,110
214,110
319,110
208,111
319,111
191,113
191,114
335,128
238,131
349,131
216,132
238,132
234,133
236,133
238,133
249,133
248,134
250,134
251,134
196,135
237,135
237,136
243,136
248,137
236,138
438,140
438,141
251,142
300,144
427,144
427,145
301,146
301,147
302,149
399,149
302,150
400,150
399,152
285,153
399,153
428,153
252,157
377,157
350,158
351,159
406,159
404,162
261,164
368,164
321,165
253,166
419,166
336,167
266,170
253,172
253,173
422,173
349,174
138,176
138,177
254,178
327,178
127,179
285,179
251,182
366,182
254,183
241,186
342,191
354,191
362,191
422,191
362,192
422,192
432,194
255,196
252,197
96,199
96,200
265,200
181,202
183,202
360,202
186,205
246,205
358,205
411,205
246,206
256,206
296,206
187,207
230,210
342,210
198,211
308,211
357,211
233,214
344,216
379,216
378,219
279,220
312,220
279,221
312,221
313,222
393,222
309,223
272,224
274,224
392,224
258,225
272,225
368,226
376,228
376,229
254,230
376,230
342,231
375,231
306,237
371,238
372,238
373,238
370,239
371,239
372,239
371,240
372,241
366,242
366,243
79,247
247,247
308,247
309,247
246,248
249,248
308,248
309,248
315,248
249,249
249,250
450,250
249,251
250,251
251,251
273,251
323,251
374,251
24,252
26,252
249,252
250,252
251,252
273,252
24,253
373,253
25,255
55,255
56,255
257,260
257,261
258,263
250,265
253,265
250,267
249,268
249,269
91,277
211,283
143,286
173,286
201,287
84,288
201,288
84,289
142,289
206,289
142,290
194,290
198,290
206,290
37,291
174,291
189,291
194,291
173,292
175,292
194,292
169,293
170,293
172,293
173,293
169,294
169,295
173,297
115,298
222,298
67,299
217,299
461,299
129,301
198,301
198,302
171,304
57,305
76,308
161,314
161,315
157,318
160,318
160,319
81,323
508,325
481,328
477,330
115,338
114,340
115,342
116,342
132,343
137,343
114,344
89,347
98,352
474,353
143,356
145,358
140,360
140,361
143,362
141,363
164,379
165,379
81,401
171,401
