LandIndex,TileX,TileY,CropName,Growth,TimeToMature,SoilQuality
1,0,0,Corn,0.59,81.6,0.64
2,0,1,Rice,0.93,75.7,0.86
3,0,2,Wheat,0.84,84.0,0.61
4,0,3,Rice,0.71,84.2,0.64
5,0,4,Wheat,0.75,61.4,0.83
6,0,5,Soy,0.63,66.1,0.67
7,0,6,Rice,0.98,65.8,0.56
8,0,7,Barley,0.67,69.7,0.45
9,0,8,Wheat,0.69,74.3,0.88
10,0,9,Soy,0.73,82.1,0.76
11,0,10,Soy,0.61,69.0,0.35
12,0,11,Soy,0.6,79.5,0.38
13,0,12,Rice,0.8,85.8,0.42
14,0,13,Barley,0.89,73.4,0.44
15,0,14,Soy,0.88,79.7,0.69
16,0,15,Corn,0.78,85.4,0.62
17,0,16,Wheat,0.82,81.7,0.44
18,0,17,Wheat,0.78,63.1,0.39
19,0,18,Barley,0.94,64.6,0.72
20,0,19,Barley,0.69,62.5,0.33
21,0,20,Rice,0.56,68.5,0.43
22,0,21,Corn,0.72,60.1,0.48
23,0,22,Wheat,0.94,78.3,0.41
24,0,23,Soy,0.95,60.8,0.64
25,0,24,Soy,0.79,73.5,0.73
26,0,25,Wheat,0.53,74.8,0.54
27,0,26,Corn,0.86,79.4,0.4
28,0,27,Corn,0.83,67.2,0.54
29,0,28,Soy,0.73,86.0,0.58
30,0,29,Wheat,0.58,75.1,0.83
31,0,30,Soy,0.8,80.7,0.62
32,0,31,Rice,0.74,70.4,0.33
33,0,32,Wheat,0.53,68.0,0.89
34,0,33,Corn,0.7,77.5,0.41
35,0,34,Soy,0.97,86.9,0.62
36,0,35,Barley,0.71,81.5,0.5
37,0,36,Barley,0.71,81.0,0.72
38,0,37,Rice,0.78,74.8,0.41
39,0,38,Barley,0.65,60.2,0.61
40,0,39,Rice,0.54,86.4,0.61
41,0,40,Rice,0.8,67.2,0.69
42,0,41,Corn,0.75,74.2,0.65
43,0,42,Corn,0.84,65.8,0.38
44,0,43,Wheat,0.74,84.4,0.72
45,0,44,Soy,0.62,61.0,0.58
46,0,45,Barley,0.69,79.7,0.41
47,0,46,Soy,0.51,61.5,0.54
48,0,47,Soy,0.58,87.5,0.52
49,0,48,Rice,0.89,61.6,0.57
50,0,49,Barley,0.97,86.7,0.84
51,0,50,Corn,0.68,67.6,0.82
52,0,51,Soy,0.96,79.6,0.31
53,0,52,Rice,0.82,79.1,0.61
54,0,53,Corn,0.64,85.6,0.34
55,0,54,Rice,0.8,72.1,0.32
56,0,55,Soy,0.9,75.9,0.43
57,0,56,Soy,0.89,71.6,0.88
58,0,57,Soy,0.94,79.7,0.86
59,0,58,Barley,0.89,69.3,0.73
60,0,59,Barley,0.85,79.2,0.49
61,0,60,Soy,0.69,82.6,0.43
62,0,61,Barley,0.59,63.9,0.4
63,0,62,Rice,0.56,71.4,0.31
64,0,63,Rice,0.91,61.1,0.56
65,0,64,Wheat,0.88,62.7,0.66
66,0,65,Corn,0.95,61.4,0.66
67,0,66,Rice,0.54,81.2,0.72
68,0,67,Corn,0.82,89.4,0.61
69,0,68,Wheat,0.86,78.3,0.62
70,0,69,Wheat,0.71,70.2,0.88
71,0,70,Corn,0.77,83.2,0.64
72,0,71,Soy,0.75,75.2,0.82
73,0,72,Corn,0.72,64.2,0.37
74,0,73,Rice,0.65,86.9,0.8
75,0,74,Corn,0.99,63.8,0.71
76,0,75,Rice,0.94,89.3,0.3
77,0,76,Rice,0.89,70.9,0.43
78,0,77,Rice,0.92,81.8,0.43
79,0,78,Soy,0.92,88.8,0.54
80,0,79,Soy,0.54,77.8,0.53
81,0,80,Wheat,0.79,89.3,0.51
82,0,81,Barley,0.74,65.4,0.56
83,0,82,Soy,0.6,61.7,0.8
84,0,83,Soy,0.63,79.3,0.33
85,0,84,Wheat,0.57,63.1,0.81
86,0,85,Wheat,0.74,75.2,0.85
87,0,86,Wheat,0.63,83.3,0.4
88,0,87,Corn,0.61,84.8,0.52
89,0,88,Rice,0.77,76.9,0.69
90,0,89,Soy,0.61,74.0,0.89
91,0,90,Rice,0.79,62.8,0.82
92,0,91,Barley,0.58,80.4,0.74
93,0,92,Wheat,0.85,82.4,0.86
94,0,93,Barley,0.65,71.7,0.89
95,0,94,Wheat,0.88,76.1,0.84
