x,y,soilBaseQuality,sunlight,nutrients,pH,organicMatter,compaction,salinity
0,0,0.52,0.62,0.74,0.52,0.21,0.84,0.66
0,1,0.87,0.6,0.41,0.43,0.1,0.57,0.76
0,2,0.74,0.51,0.51,0.68,0.12,0.35,0.45
0,3,0.66,0.76,0.7,0.31,0.15,0.75,0.32
0,4,0.39,0.69,0.59,0.49,0.16,0.51,0.34
0,5,0.39,0.92,0.74,0.55,0.18,0.65,0.62
0,6,0.33,0.42,0.88,0.61,0.19,0.28,0.53
0,7,0.82,0.79,0.37,0.4,0.3,0.67,0.46
0,8,0.66,0.86,0.73,0.54,0.33,0.48,0.25
0,9,0.72,0.86,0.44,0.35,0.22,0.45,0.76
0,10,0.31,0.93,0.55,0.42,0.55,0.93,0.69
0,11,0.88,0.84,0.32,0.65,0.35,0.52,0.21
0,12,0.8,0.96,0.38,0.67,0.48,0.71,0.38
0,13,0.43,0.6,0.49,0.56,0.56,0.67,0.51
0,14,0.41,0.7,0.51,0.39,0.14,0.28,0.44
0,15,0.41,0.41,0.84,0.61,0.29,0.76,0.4
0,16,0.48,0.4,0.75,0.21,0.29,0.44,0.64
0,17,0.61,0.54,0.88,0.25,0.24,0.8,0.14
0,18,0.56,0.46,0.66,0.53,0.05,0.66,0.45
0,19,0.47,0.56,0.45,0.35,0.5,0.44,0.3
0,20,0.67,0.51,0.5,0.68,0.11,0.47,0.16
0,21,0.38,0.42,0.49,0.42,0.6,0.75,0.45
0,22,0.48,0.95,0.5,0.41,0.48,0.61,0.23
0,23,0.52,0.4,0.7,0.54,0.37,0.7,0.29
0,24,0.57,0.84,0.62,0.58,0.14,0.32,0.48
0,25,0.77,0.49,0.53,0.44,0.33,0.79,0.83
0,26,0.42,0.95,0.39,0.31,0.19,0.44,0.61
0,27,0.61,0.94,0.31,0.59,0.19,0.66,0.31
0,28,0.66,0.79,0.43,0.36,0.51,0.29,0.39
0,29,0.33,0.8,0.36,0.29,0.26,0.44,0.4
0,30,0.66,0.4,0.77,0.52,0.3,0.69,0.22
0,31,0.4,0.99,0.37,0.25,0.51,0.41,0.22
0,32,0.34,0.93,0.73,0.69,0.1,0.86,0.21
0,33,0.87,0.94,0.53,0.52,0.38,0.7,0.49
0,34,0.88,0.8,0.34,0.69,0.37,0.85,0.61
0,35,0.79,0.61,0.79,0.37,0.28,0.5,0.54
0,36,0.48,0.94,0.65,0.69,0.51,0.23,0.83
0,37,0.36,0.57,0.44,0.27,0.57,0.63,0.19
0,38,0.71,0.74,0.84,0.22,0.31,0.45,0.84
0,39,0.56,0.46,0.33,0.22,0.3,0.54,0.45
0,40,0.37,0.95,0.42,0.43,0.33,0.71,0.26
0,41,0.6,0.48,0.75,0.24,0.45,0.73,0.81
0,42,0.32,0.53,0.73,0.46,0.42,0.22,0.45
0,43,0.85,0.73,0.47,0.36,0.17,0.78,0.36
0,44,0.46,0.86,0.34,0.37,0.09,0.57,0.26
0,45,0.7,0.77,0.81,0.52,0.57,0.62,0.3
0,46,0.49,0.54,0.49,0.28,0.19,0.42,0.83
0,47,0.61,0.4,0.42,0.58,0.4,0.52,0.33
0,48,0.63,0.85,0.61,0.49,0.51,0.73,0.83
0,49,0.41,0.99,0.85,0.66,0.22,0.78,0.35
0,50,0.88,0.89,0.33,0.38,0.4,0.49,0.27
0,51,0.77,0.68,0.76,0.69,0.11,0.72,0.24
0,52,0.86,0.94,0.64,0.49,0.58,0.39,0.41
0,53,0.84,0.65,0.56,0.69,0.08,0.82,0.28
0,54,0.66,0.71,0.75,0.21,0.29,0.66,0.62
0,55,0.85,0.69,0.88,0.56,0.35,0.78,0.28
0,56,0.35,0.67,0.44,0.61,0.48,0.56,0.73
0,57,0.42,0.87,0.39,0.23,0.12,0.37,0.73
0,58,0.33,0.72,0.85,0.49,0.29,0.52,0.31
0,59,0.5,0.59,0.7,0.6,0.21,0.49,0.67
0,60,0.53,0.55,0.56,0.48,0.22,0.45,0.74
0,61,0.46,0.42,0.64,0.23,0.48,0.36,0.54
0,62,0.8,0.75,0.75,0.55,0.05,0.77,0.37
0,63,0.51,0.54,0.76,0.23,0.46,0.26,0.43
0,64,0.47,0.49,0.85,0.61,0.5,0.87,0.69
0,65,0.63,0.79,0.56,0.22,0.55,0.33,0.32
0,66,0.38,0.81,0.48,0.27,0.39,0.93,0.35
0,67,0.78,0.85,0.68,0.34,0.23,0.94,0.22
0,68,0.34,0.7,0.55,0.52,0.28,0.5,0.4
0,69,0.89,0.94,0.66,0.69,0.58,0.94,0.16
0,70,0.76,0.96,0.55,0.26,0.53,0.85,0.34
0,71,0.42,0.88,0.39,0.27,0.3,0.26,0.38
0,72,0.3,0.78,0.58,0.38,0.57,0.91,0.29
0,73,0.79,0.58,0.71,0.62,0.5,0.23,0.18
0,74,0.72,0.99,0.78,0.43,0.55,0.34,0.49
0,75,0.74,0.56,0.6,0.36,0.43,0.64,0.75
0,76,0.76,0.52,0.4,0.48,0.52,0.26,0.35
0,77,0.34,0.67,0.55,0.33,0.54,0.32,0.28
0,78,0.52,0.43,0.77,0.4,0.1,0.92,0.31
0,79,0.37,0.99,0.55,0.37,0.58,0.95,0.75
0,80,0.82,0.75,0.72,0.6,0.23,0.8,0.5
0,81,0.67,0.73,0.6,0.66,0.29,0.59,0.2
0,82,0.5,0.79,0.44,0.58,0.49,0.88,0.63
0,83,0.34,0.7,0.78,0.42,0.42,0.28,0.22
0,84,0.49,0.42,0.35,0.45,0.54,0.91,0.15
0,85,0.5,0.77,0.61,0.26,0.27,0.46,0.29
0,86,0.74,0.83,0.43,0.57,0.26,0.85,0.23
0,87,0.68,0.65,0.34,0.5,0.07,0.7,0.55
0,88,0.83,0.85,0.6,0.65,0.3,0.92,0.46
0,89,0.58,0.54,0.6,0.3,0.45,0.85,0.64
0,90,0.37,0.53,0.72,0.58,0.22,0.87,0.48
0,91,0.73,0.5,0.75,0.54,0.3,0.67,0.41
0,92,0.76,0.62,0.74,0.33,0.17,0.82,0.49
0,93,0.64,0.91,0.55,0.53,0.48,0.77,0.43
0,94,0.76,0.9,0.68,0.66,0.08,0.32,0.13
0,95,0.6,0.63,0.65,0.66,0.44,0.69,0.61
0,96,0.61,0.75,0.55,0.56,0.26,0.31,0.82
0,97,0.56,0.83,0.66,0.22,0.07,0.85,0.42
0,98,0.32,0.54,0.87,0.64,0.52,0.25,0.42
0,99,0.36,0.5,0.42,0.53,0.32,0.94,0.13
1,0,0.32,0.98,0.84,0.36,0.38,0.5,0.77
1,1,0.68,0.77,0.33,0.29,0.45,0.33,0.8
1,2,0.49,0.99,0.49,0.26,0.41,0.9,0.71
1,3,0.61,0.6,0.47,0.23,0.45,0.23,0.18
1,4,0.84,0.82,0.68,0.58,0.47,0.55,0.78
1,5,0.45,0.53,0.38,0.32,0.37,0.78,0.12
1,6,0.55,0.56,0.83,0.21,0.25,0.44,0.43
1,7,0.75,0.71,0.8,0.4,0.18,0.6,0.48
1,8,0.44,0.59,0.69,0.44,0.55,0.73,0.73
1,9,0.35,0.5,0.58,0.28,0.58,0.91,0.66
1,10,0.47,0.56,0.86,0.22,0.25,0.28,0.7
1,11,0.4,0.42,0.8,0.29,0.11,0.32,0.75
1,12,0.86,0.82,0.6,0.54,0.17,0.58,0.46
1,13,0.78,0.7,0.72,0.24,0.42,0.51,0.69
1,14,0.68,0.46,0.64,0.48,0.15,0.51,0.15
1,15,0.82,0.5,0.65,0.27,0.48,0.42,0.43
1,16,0.78,0.46,0.5,0.3,0.56,0.62,0.12
1,17,0.41,0.77,0.58,0.4,0.58,0.86,0.79
1,18,0.84,0.46,0.35,0.25,0.06,0.32,0.82
1,19,0.62,0.85,0.51,0.29,0.58,0.36,0.16
1,20,0.78,0.41,0.72,0.37,0.46,0.7,0.5
1,21,0.84,0.55,0.87,0.36,0.1,0.24,0.34
1,22,0.49,0.93,0.88,0.57,0.28,0.71,0.36
1,23,0.37,0.83,0.63,0.24,0.44,0.44,0.44
1,24,0.44,0.44,0.66,0.63,0.58,0.47,0.19
1,25,0.56,0.89,0.41,0.61,0.14,0.5,0.24
